article	summary
officials of the cabinet-level fair trade commission -lrb- ftc -rrb- said friday that they have formed an ad hoc group to investigate whether there is any manipulation of commodity prices by traders in local market .	fair trade commission investigating consumer price hike
five people were killed , and a woman gravely wounded , following a lethal shootout at a nightclub in cali , colombia 's third largest city , local authorities said monday .	colombian nightclub shootout leaves five dead
preliminary dna testing on remains of ## red army soldiers uncovered at a soviet-era war memorial will be conducted in russia and ukraine , reports from the estonian capital of tallin said wednesday .	estonia provides red army soldiers dna samples for russia ukraine
transocean inc. , the world 's largest offshore drilling contractor , said monday it will combine with smaller competitor globalsantafe corp. , creating a company with a full range of offshore drilling services in the world 's key markets .	transocean globalsantafe plan to combine to create new oil drilling heavyweight
palestinian president mahmoud abbas will make a working visit to malaysia starting from may ## to ## , malaysian foreign ministry said here on tuesday .	palestinian president to visit malaysia on may ##
german engineering giant siemens said tuesday it would pursue former directors for damages in an unprecedented action based on a claim they ignored widespread corruption revealed nearly two years ago .	siemens weighs legal action against former executives
a joint metallurgy group has been set up by three companies in this , china 's largest industrial city .	shanghai sets up metallurgy group enterprise
the number of u.s. service members who have died in iraq since the war began last march reached ### on saturday after a roadside bomb detonated north of baghdad , killing three u.s. soldiers and two iraqi civil defense troopers .	three u.s. soldiers killed north of baghdad military says bringing total to ### since war began
syrian refugees displaced from the israeli-occupied golan heights celebrated the end of ramadan on saturday , visiting relatives and taking their children for rides on a mini ferris wheel set up in an empty lot .	displaced syrians hope to return
there 'd been precious little forage for carnivores down at the bottom of broad street till dick cheney rode the meat wagon onstage .	cheney delivers meat to the hungry
hong kong 's hang seng china enterprises index fell ##.## points , or #.## percent , to close at #,###.## monday .	hang seng china enterprises index down
southwest airlines , defying the headwinds of an airline crisis , said monday it had boosted profits in the first quarter of #### as all its competitors lost .	southwest airlines boosts profits defying us crisis
the french government and an alliance of european cosmetics companies have taken legal action to stop a european union ban on using animals to test cosmetics as of #### , eu officials said tuesday .	france eu cosmetics firms seek to block eu ban on UNK cosmetics
a ##-year-old boy fatally shot one sheriff 's deputy and seriously wounded another outside his home , and police believed they had cornered him , authorities said .	##-year-old boy sought in shooting that left # indiana deputy dead and another wounded
syrian president hafez al-assad accused israel of hampering the peace process between the two countries and called on the united states to intensify its diplomatic efforts to secure an agreement .	syrian president accuses israel of hampering peace process
the maoist shining path 's jailed number-two leader , elena UNK , on tuesday filed suit seeking to visit behind bars her lover , the group 's longtime top leader abimael guzman , her attorney said .	shining path leader 's love seeks quality time together
russia and its pro-west neighbor georgia engaged in fierce fighting saturday in the disputed region of south ossetia , reports said , as the international community scrambled to prevent an all-out war .	fierce fighting reported in georgia after russian troop surge
a senior russian official on tuesday paid a visit to syria over the `` dangerous developments '' in the gaza strip due to continuing israeli `` brutal aggression , '' the official sana news agency reported .	russian presidential envoy visits syria over gaza
average mortgage rates for single-family homes in the ## largest metropolitan areas as of feb. # as compiled by bankrate.com .	average single-home mortgage rates
jorge de la rosa won for the first time since may ## , mark teahen singled home a run in the third inning and the kansas city royals beat the los angeles angels #-# to complete a three-game sweep on wednesday .	kansas city sweep angels
each of the two numbers ending in zero had special meaning for mariner left-hander jamie moyer .	moyer reaches #,### UNK ### wins
pyongyang has yet to inform seoul of any intention to resume talks for an inter-korean summit , which could be dropped after the death of north korean president kim il-sung , officials said sunday .	pyongyang silent on reviving summit preparations
hamas on monday denied dubai police chief 's accusation that a hamas traitor informed mossad , israel 's security intelligence service , about its militant leader mahmoud UNK 's visit to dubai , which led to his assassination on jan. ## .	hamas denies dubai police accusation over militant murder
health legislation passed by the house would change some rules immediately on insurance coverage while leaving much of the fight over how to remake the medical system to federal regulators , states and courts .	after vote health-care fight shifts to states agencies
two hamas militants were killed when a missile fired from an israeli aircraft hit a car in gaza city after nightfall monday , residents and palestinian security officials said .	two hamas militants killed in israeli airstrike in gaza city
a conservative author and former speechwriter for president bush has raised money to finance a tv advertising campaign aimed at sinking the nomination of harriet e. miers to the supreme court .	former bush speechwriter launches UNK campaign
an andy warhol canvas portraying a can of campbell 's soup was auctioned off here for nearly ##.# million dollars , christie 's auction house reported late tuesday .	warhol painting fetches ##.# million dollars
uss greeneville cmdr. scott waddle was given a letter of reprimand monday as punishment for the submarine collision that killed nine people aboard a japanese fishing vessel , his attorney said .	sub cmdr. gets letter of reprimand
marlins players did a double-take the first time they saw pitcher anibal sanchez this spring .	sanchez drops weight with help from ex-nbaer john salley
